#
#  ypes214092cyc 21.5 Reactions link table generated on Wed Oct 25, 2017
#
RXN0-5021	EC-2.7.7
3.4.21.102-RXN	EC-3.4.21.102
RXN-14073	EC-3.1.4.46
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RIBOFLAVINKIN-RXN	EC-2.7.1.26
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-14372	EC-2.4.1.18
RXN-9952	EC-1.1.1.44
GLUTDEHYD-RXN	EC-1.4.1.4
XANPRIBOSYLTRAN-RXN	EC-2.4.2.22
ACSERLY-RXN	EC-2.5.1.47
RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
RXN1G-951	EC-1.1.1.100
3.2.1.17-RXN	EC-3.2.1.17
ABC-28-RXN	EC-3.6.3.17
RXN0-742	EC-6.3.4.18
THREODEHYD-RXN	EC-1.1.1.103
RXN-7605	EC-2.1.1
POLYPHOSPHATE-KINASE-RXN	EC-2.7.4.1
RXN-8141	
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
ACYL-COA-HYDROLASE-RXN	EC-3.1.2.20
KDO-8PPHOSPHAT-RXN	EC-3.1.3.45
DLACTDEHYDROGFAD-RXN	EC-1.1.5
RXN0-6259	EC-1.3.5.3
UDPGLUCEPIM-RXN	EC-5.1.3.2
RXN0-5266	EC-1.10.3.14
3.1.3.68-RXN	EC-3.1.3.68
RXN-13698	EC-2.6.1.2
RXN-12195	EC-3.6.1.15
RXN0-6513	EC-4.2.1.17
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
6PGLUCONOLACT-RXN	EC-3.1.1.31
RXN-15163	EC-2.7.1.69
RXN-5741	EC-6.2.1.20
RXN-11840	EC-5.4.99.26
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.41
3.4.11.5-RXN	EC-3.4.11.5
RXN-9651	EC-2.3.1.86
RXN-5284	
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
RXN-8976	EC-2.4.1.227
HYPOXANPRIBOSYLTRAN-RXN	EC-2.4.2.8
DEOXYGUANPHOSPHOR-RXN	EC-2.4.2.1
RXN-7968	EC-1.1.1.282
MANNONDEHYDRAT-RXN	EC-4.2.1.8
RIBOPHOSPHAT-RXN	
RXN0-6485	EC-3.1.26.12
RXN-14188	EC-3.6.1
5.3.3.14-RXN	EC-5.3.3.14
OHMETHYLBILANESYN-RXN	EC-2.5.1.61
RXN-8643	EC-1.1.1.93
RXN1G-409	EC-1.1.1.100
PPENTOMUT-RXN	EC-5.4.2.7
TRANS-RXN-161	EC-2.7.1.69
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
RXN-9673	EC-6.2.1.3
GCVMULTI-RXN	
RXN0-1321	EC-2.4.2.29
PSERTRANSAMPYR-RXN	EC-2.6.1.52
RXN-12252	EC-3.1.1.1
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
SHIKIMATE-5-DEHYDROGENASE-RXN	EC-1.1.1.25
SAICARSYN-RXN	EC-6.3.2.6
MALTODEXGLUCOSID-RXN	EC-3.2.1.20
RXN-7643	EC-4.1.1.72
UDPREDUCT-RXN	EC-1.17.4.1
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN-9310	EC-4.2.99.20
RXN-14753	
RXN1G-460	EC-2.3.1.41
RXN-15170	EC-2.7.1.69
THI-P-SYN-RXN	EC-2.5.1.3
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
CDPKIN-RXN	EC-2.7.4.6
RXN-14192	EC-2.7.1.40
RXN-10017	
3.4.11.18-RXN	EC-3.4.11.18
RXN0-385	EC-3.6.1.19
RXN0-5260	EC-1.1.5.3
RXN-13519	
AMP-NUCLEOSID-RXN	EC-3.2.2.4
RXN-13198	EC-1.1.1.1
DEOXYGUANOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.113	EC-2.7.1.145
TRYPTOPHAN--TRNA-LIGASE-RXN	EC-6.1.1.2
RXN0-5100	EC-5.99.1
GSAAMINOTRANS-RXN	EC-5.4.3.8
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
2.3.1.157-RXN	EC-2.3.1.157
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5
RXN-15177	EC-2.7.1.69
ASPARTATEKIN-RXN	EC-2.7.2.4
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	EC-4.1.1.44
RXN0-5126	EC-2.4.1.58
RXN-5283	
TETHYDPICSUCC-RXN	EC-2.3.1.117
RXN1A0-6303	EC-1.3.1
RXN-11940	
RXN1G-157	EC-1.1.1.100
RXN-13179	EC-1.1.1.262
3PGAREARR-RXN	EC-5.4.2.12
RXN-8344	EC-2.7.7.75
PHOSPHASERSYN-RXN	EC-2.7.8.8
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
ARGSUCCINLYA-RXN	EC-4.3.2.1
RXN-8001	EC-1.1.1.23
4.2.3.12-RXN	EC-4.2.3.12
RXN0-5118	EC-2.4
TRYPSYN-RXN	EC-4.2.1.20
PNKIN-RXN	EC-2.7.1.35
QOR-RXN	EC-1.6.5.5
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.65	EC-3.6.1.12	EC-3.6.1.19
PGLUCONDEHYDRAT-RXN	EC-4.2.1.12
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-4222	EC-3.1.13.1
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
TRANS-RXN-249	EC-3.6.3.14
OLIGOGALACTURONIDE-LYASE-RXN	EC-4.2.2.6
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
5.3.3.10-RXN	EC-5.3.3.10
RXN-13602	EC-3.2.1.21
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
SUGAR-PHOSPHATASE-RXN	EC-3.1.3.23
3.6.3.29-RXN	EC-3.6.3.29
RXN-14391	
HISTIDPHOS-RXN	EC-3.1.3.15
FADSYN-RXN	EC-2.7.7.2
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
TRANS-RXN-214	EC-1.6.5.8
RXN-13482	EC-2.1.3.3
RXN1G-218	EC-2.3.1.41
RXN-9535	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.41
R223-RXN	EC-6.2.1.3
RXN-9660	EC-1.3.1.9
FORMATETHFLIG-RXN	EC-6.3.4.3
KDO-8PSYNTH-RXN	EC-2.5.1.55
LYXK-RXN	EC-2.7.1.53
GLUTAMIDOTRANS-RXN	EC-2.4.2
3.4.21.87-RXN	EC-3.4.23.49
RXN-10015	
RXN-2102	EC-3.1.1.11
DXS-RXN	EC-2.2.1.7
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
XANTHOSINEPHOSPHORY-RXN	EC-2.4.2.1
RXN-15152	EC-2.7.1.69
RXN0-7001	EC-3.5.1.105
RXN-12587	EC-2.8.1.7
RXN0-2381	EC-4.1.2.8
MALIC-NADP-RXN	EC-1.1.1.40
RXN-15094	EC-2.7.1.69
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
METHIONINE--TRNA-LIGASE-RXN	EC-6.1.1.10
RXN0-5513	EC-6.2.1.20
RXN-11841	EC-5.4.99.27
RXN-14268	EC-2.3.1.16
RXN-5282	
RXN-10059	EC-2.3.1.41
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	EC-4.1.1.98
1.1.1.274-RXN	EC-1.1.1.274
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	EC-1.1.2.3
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
RXN0-6973	EC-1.14.14.5
RXN-14480	EC-2.8.1
GARTRANSFORMYL2-RXN	EC-2.1.2
CHD-RXN	EC-1.1.99.1
RXN-7911	EC-1.3.1.34
DAADEHYDROG-RXN	EC-1.4.99.1
RXN1G-853	EC-1.1.1.100
RXN-11941	
CYTDEAM-RXN	EC-3.5.4.1
2.7.7.34-RXN	EC-2.7.7.34
GCVT-RXN	EC-2.1.2.10
P-PANTOCYSLIG-RXN	EC-6.3.2.5
RXN0-5226	EC-3.2.1.52
MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN-11030	
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1
RXN-9311	EC-3.1.2.28
RXN-10705	EC-4.2.1.17
PHOSPHASERDECARB-RXN	EC-4.1.1.65
RXN-11039	EC-1.1.5.5
RXN-14957	EC-2.8.1.8
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
1.8.1.4-RXN	EC-1.8.1.4
SUCROSE-SYNTHASE-RXN	EC-2.4.1.13
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-7694	EC-1.1.1.1
RXN0-5462	EC-3.6.5.1	EC-3.6.5.2	EC-3.6.5.3	EC-3.6.5.4	EC-3.6.5.5	EC-3.6.5.6
RXN-12473	EC-2.8.1.11
TRANS-RXN0-277	EC-1.6.1.2
RXN-14117	EC-2.7.1.40
CHMS-DEHYDROGENASE-RXN	EC-1.2.1.60
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.102
RXN-11480	EC-1.1.1.100
RXN-12912	EC-2.6.1
RXN1G-384	EC-1.1.1.100
GLUCOSE-1-PHOSPHAT-RXN	EC-3.1.3.10
RXN-10857	EC-4.1.2.25
RXN0-6522	EC-3.1.26.12
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
RXN0-5393	
RXN0-5257	
RXN-12519	EC-5.3.3.8
DEOXYADENOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.76	EC-2.7.1.145
RXN-7561	EC-2.3.1.109
RXN-15007	EC-2.6.1.11
PPGPPSYN-RXN	EC-3.1.7.2
DTDPGLUCOSEPP-RXN	EC-2.7.7.24
RXN0-5227	EC-3.4.17.13
RXN-14791	EC-4.2.1.119
METHANOL-DEHYDROGENASE-RXN	EC-1.1.1.244
L-ASPARTATE-OXID-RXN	EC-1.4.3.16
RXN-15143	EC-2.7.1.69
RXN0-748	EC-1.17.4.1
RXN-14950	EC-2.8.1.8
RXN-11902	EC-1.3.7.7
RXN66-545	EC-1.5.5.2
1.1.1.262-RXN	
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14
RXN0-6480	EC-3.1.26.5
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
GLUCONOKIN-RXN	EC-2.7.1.12
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
RXN-14282	EC-3.2.1.20
RXN-14283	EC-3.2.1.20
RXN-12729	EC-4.4.1.8
TARTRATE-DEHYDROGENASE-RXN	EC-1.1.1.93
PEPCARBOX-RXN	EC-4.1.1.31
RXN0-5121	EC-2.7.1
3.4.21.50-RXN	EC-3.4.21.50
RXN-10	EC-6.3.4.5
RXN0-6373	EC-1.1.5.2
RXN-14112	EC-3.1.4.16
TDPFUCACTRANS-RXN	EC-2.3.1.210
RXN0-5248	
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
3.5.1.28-RXN	EC-3.5.1.28
2.7.9.3-RXN	EC-2.7.9.3
RXN66-532	EC-5.4.2.5
RXN-15176	EC-2.7.1.69
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
PRPPAMIDOTRANS-RXN	EC-2.4.2.14
ADENYLYLSULFATE-REDUCTASE-RXN	EC-1.8.99.2
RXN-7933	EC-3.5.1.16
RXN-14139	EC-3.6.1.19
LIPIDADISACCHARIDESYNTH-RXN	EC-2.4.1.182
RXN0-5268	EC-1.10.3.10
RXN-14264	EC-1.3.8.4
MANNITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.67
RXN0-6372	
RXN-14788	EC-2.3.1.16
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
2.7.3.9-RXN	EC-2.7.3.9
RXN0-723	EC-1.17.4.2
5.1.3.9-RXN	EC-5.1.3.9
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1
RXN0-6359	EC-2.8.1.1
RXN0-5390	EC-3.1.2
RXN-14147	EC-2.6.1.57
RXN-8391	
RXN1G-260	EC-1.1.1.100
DEOXYCYTIDINE-KINASE-RXN	EC-2.7.1.74
RXN0-5244	
RXN0-2601	EC-4.2.99.18
RXN-13264	EC-6.2.1.20
TRANS-RXN-156	EC-2.7.1.69
URKI-RXN	EC-2.7.1.48
DAPASYN-RXN	EC-2.6.1.62
RXN0-1401	EC-2.7.4.23
3.4.16.4-RXN	EC-3.4.16.4
RXN-11842	EC-5.4.99.28
RXN-12400	EC-3.2.1.23
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN0-5185	EC-3.1.3
RXN0-5297	EC-3.2.1.86
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN-8798	
RXN-8447	
ABC-64-RXN	EC-3.6.3.36
RXN-11346	EC-2.4.1.227
ALPHAGALACTOSID-RXN	EC-3.2.1.22
RXN-9527	EC-2.3.1.41
RXN-9635	EC-1.3.1.9
RXN-7594	
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
RXN-7835	EC-1.3.1.34
RXN-15137	
CARDIOLIPSYN-RXN	EC-2.7.8
RXN0-7008	EC-1.5.5.2
RXN-14240	EC-1.11.1.7
GMP-SYN-GLUT-RXN	EC-6.3.5.2
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
RXN-3641	EC-2.3.1.174
RXN-9615	
3.4.21.92-RXN	EC-3.4.21.92
RXN-5822	EC-3.1.3
RXN3O-102	EC-2.1.1.64
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
RXN-15092	EC-2.7.1.69
RXN0-5189	EC-3.2.2.20
RXN0-262	EC-2.7.7.77
2.5.1.19-RXN	EC-2.5.1.19
RXN-10915	EC-1.1.1.1
ISOLEUCINE--TRNA-LIGASE-RXN	EC-6.1.1.5
PNP-RXN	EC-2.4.2.1
GMKALT-RXN	EC-2.7.4.13	EC-2.7.4.12
RXN-14260	EC-2.4.1.25
3.4.24.55-RXN	EC-3.4.24.55
TSA-REDUCT-RXN	EC-1.1.1.60
XYLISOM-RXN	EC-5.3.1.5
RXN-12000	EC-1.2.1
GDPKIN-RXN	EC-2.7.4.6
RXN-7607	EC-3.1.3.5
RXN-1501	EC-3.1.1.4
RXN-7592	
PEPDEPHOS-RXN	EC-2.7.1.40
3.2.1.14-RXN	EC-3.2.1.14
PRTRANS-RXN	EC-2.4.2.18
RXN1F-20	EC-6.6.1.1
RXN0-6952	EC-3.1.1.32
RXN-11476	EC-1.1.1.100
RXN1G-717	EC-1.1.1.100
RXN0-6521	EC-3.1.26.12
RXN0-2142	EC-1.1.1.100
UDPKIN-RXN	EC-2.7.4.6
PGLYCDEHYDROG-RXN	EC-1.1.1.95
RXN-7836	EC-5.3.3.8
ACETATEKIN-RXN	EC-2.7.2.1
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
RXN-10025	EC-2.3.1.184
GKI-RXN	EC-2.7.1.165
RXN0-3521	EC-2.4.2.53
LXULRU5P-RXN	EC-5.1.3.22
2.9.1.1-RXN	EC-2.9.1.1
RXN-8797	
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN0-949	EC-2.8.1.8
RXN-9929	EC-1.3.98.1
RXN0-2001	EC-2.4.2.43
RXN-12721	EC-1.8.4.9
RXN-14274	EC-2.3.1.16
FORMIMINOGLUTAMASE-RXN	EC-3.5.3.8
SULFITE-DEHYDROGENASE-RXN	EC-1.8.2.1
RXN-15346	
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN-13056	EC-6.3.2.39
GDPPYPHOSKIN-RXN	EC-2.7.6.5
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
RXN-12392	EC-2.4.1.1
RXN0-2042	EC-1.14.13.149
RXN-10767	EC-3.1.1.1
RXN-12626	EC-3.2.1.52
RXN-14267	EC-3.5.1.28
RXN-15165	EC-2.7.1.69
ADOMET-DMK-METHYLTRANSFER-RXN	EC-2.1.1.163
RXN0-4121	EC-3.9.1
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
THREDEHYD-RXN	EC-4.3.1.19
RXN0-6482	EC-2.7.7.56
RXN-9654	EC-2.3.1.86
R344-RXN	EC-2.5.1.17
RXN-14379	
HOMSUCTRAN-RXN	EC-2.3.1.46
RXN0-5131	EC-2.7.7
RXN0-5114	EC-3.1.3.3
RXN0-747	EC-1.17.4.1
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
RXN-15378	EC-1.3.5.1
N-ACYLMANNOSAMINE-KINASE-RXN	EC-2.7.1.60
RXN-12736	EC-1.2.1.87
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
3.1.4.14-RXN	EC-3.1.4.14
ADENYLATECYC-RXN	EC-4.6.1.1
RXN-12705	EC-1.1.1.35
RXN-9661	EC-1.3.1.9
URA-PHOSPH-RXN	EC-2.4.2.3	EC-2.4.2.2
RXN-14883	
RXN-12623	EC-3.2.1.14
ENTDB-RXN	
RIBULP3EPIM-RXN	EC-5.1.3.1
ALLANTOINASE-RXN	EC-3.5.2.5
TAGAKIN-RXN	EC-2.7.1.144
XMPXAN-RXN	EC-3.1.3.5
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
3.6.3.3-RXN	EC-3.6.3.3
RXN-11245	EC-1.1.1.35
URIDINEKIN-RXN	EC-2.7.1.48
TRANS-RXN-168	EC-2.7.1.69
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
RXN0-5254	
DIMESULFREDUCT-RXN	EC-1.8.5.3
RXN3O-1803	EC-2.3.1.86
GLUTAMINESYN-RXN	EC-6.3.1.2
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
DNA-LIGASE-NAD+-RXN	EC-6.5.1.2
RXN-8799	
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.4
SPERMIDINESYN-RXN	EC-2.5.1.16
RXN-12864	
DADPKIN-RXN	EC-2.7.4.6
RXN-11924	
GDPREDUCT-RXN	EC-1.17.4.1
RXN-10018	
RXN-9548	EC-3.1.2.14
RXN0-5107	EC-3.6.1.19
GLYCEROL-KIN-RXN	EC-2.7.1.30
RXN-14790	EC-1.3.1.34
1TRANSKETO-RXN	EC-2.2.1.1
MANNPISOM-RXN	EC-5.3.1.8
GMP-SYN-NH3-RXN	
GLUCONATE-5-DEHYDROGENASE-RXN	EC-1.1.1.69
RXN-15180	EC-2.7.1.69
RXN-7710	EC-2.4.1.18
RXN0-6512	EC-2.3.1.223
RXN66-477	EC-6.2.1.3
RXN-11031	
NAD-KIN-RXN	EC-2.7.1.23
RXN1G-184	EC-1.1.1.100
RXN-10769	EC-3.2.1.21
RXN-15171	EC-2.7.1.69
RXN-15160	EC-2.7.1.69
3.4.23.36-RXN	EC-3.4.23.36
RXN-12611	EC-2.5.1.3
RXN0-2461	EC-2.7.1.69
RXN0-5419	
RXN0-1132	EC-1.8.1.4
RXN-12867	
RXN-12624	EC-3.2.1.14
RXN0-299	EC-1.14.11.17
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
DUTP-PYROP-RXN	EC-3.6.1.19	EC-3.6.1.23
SELENOCYSTEINE-LYASE-RXN	EC-4.4.1.16
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
KDOTRANS-RXN	EC-2.4.99.12
RXN-10659	EC-1.1.1.100
URUR-RXN	EC-3.5.3.26
RXN-14983	EC-2.7.1.69
ADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.7
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
RNTRACTIV-RXN	EC-1.97.1
PHEAMINOTRANS-RXN	EC-2.6.1.57
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.19
RXN-15086	EC-2.7.1.69
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-15151	EC-2.7.1.69
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.7
MALATE-DEH-RXN	EC-1.1.1.37
3.1.26.5-RXN	EC-3.1.26.5
SPONTPRO-RXN	
GART-RXN	EC-2.1.2.2
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN-12399	EC-3.2.1.23
AIRS-RXN	EC-6.3.3.1
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
RXN-12540	
RXN1G-306	EC-2.3.1.41
RXN0-6491	EC-1.3.5.2
RXN-15513	EC-5.4.2.11
5.4.2.10-RXN	EC-5.4.2.10
RXN0-5304	EC-5.4.99
RXN-12865	
PEPCARBOXYKIN-RXN	EC-4.1.1.49
INOPHOSPHOR-RXN	EC-2.4.2.1
RXN-12609	EC-5.3.99.10
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
PNPOXI-RXN	EC-1.4.3.5
RXN-7644	EC-1.1.1.14
RXN66-526	EC-3.1.3.58
6PFRUCTPHOS-RXN	EC-2.7.1.11
RXN1G-617	EC-1.1.1.100
RXN-14091	EC-3.1.4.16
2.4.1.129-RXN	EC-2.4.1.129
RXN0-1134	EC-1.2.4.1
RXN0-6510	EC-5.3.3.18
RXN-10711	EC-3.1.1.1
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
RXN-14382	
RXN-15122	
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
RXN-11474	EC-2.3.1.41
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
RXN-12165	EC-1.2.1
RXN-12444	EC-1.5.1.38
RXN-9674	EC-3.2.1.21
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN0-7080	
5.99.1.2-RXN	EC-5.99.1.2
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
ARABISOM-RXN	EC-5.3.1.4
RXN-2901	EC-2.6.1.19
2.7.7.60-RXN	EC-2.7.7.60
RXN0-5261	
CYTIKIN-RXN	EC-2.7.1.48
RXN-9025	EC-2.4.1.1
RXN-15162	EC-2.7.1.69
RXN-13266	EC-6.2.1.20
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
RXN-7793	EC-2.4.1.80
RXN-9516	EC-2.3.1.41
CITLY-RXN	EC-4.1.3.6
RXN-15509	
RXN-12730	EC-2.1.1.14
RXN0-6490	
RXN-11029	EC-2.4.1.227
RXN0-7012	
RXN0-5305	
PORPHOBILSYNTH-RXN	EC-4.2.1.24
RXN-12614	
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
RXN-11707	EC-1.2.1.80
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
R310-RXN	EC-4.2.1.84
RXN-9644	EC-6.2.1.3
FHLMULTI-RXN	
RXN-12583	
RXNMETA-12671	EC-3.3.2.12
2-HALOACID-DEHALOGENASE-RXN	EC-3.8.1.10
RXN-12625	EC-3.2.1.52
RXN0-5225	EC-3.5.1.28
RXN-10703	EC-1.1.1.35
RXN0-4641	EC-4.2.1.126
RXN-15356	
ACETOLACTSYN-RXN	EC-2.2.1.6
RXN0-5055	EC-6.4.1.2
RXN-8899	
DLACTDEHYDROGNAD-RXN	EC-1.1.1.28
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-10655	EC-1.1.1.100
